Energy_low [MeV], Emission_rate [s^-1]
0, 0
4.223e-9, 2.509e-7
1.334e-8, 8.739e-7
4.212e-8, 2.275e-6
1.330e-7, 5.057e-6
4.201e-7, 9.375e-6
1.327e-6, 1.742e-5
4.190e-6, 3.253e-5
1.323e-5, 6.107e-5
4.179e-5, 1.148e-4
1.320e-4, 2.168e-4
4.168e-4, 4.128e-4
1.316e-3, 8.113e-4
4.158e-3, 1.752e-3
1.313e-2, 4.645e-3
4.147e-2, 1.012e-2
1.171e-1, 2.413e-2
3.204e-1, 2.940e-2
5.236e-1, 2.643e-2
7.269e-1, 2.406e-2
9.302e-1, 1.944e-2
1.133e0, 1.845e-2
1.337e0, 1.880e-2
1.540e0, 1.781e-2
1.743e0, 1.655e-2
1.947e0, 2.088e-2
2.150e0, 2.381e-2
2.353e0, 2.179e-2
2.760e0, 3.089e-2
2.963e0, 3.876e-2
3.166e0, 3.750e-2
3.370e0, 3.228e-2
3.573e0, 2.996e-2
3.776e0, 2.832e-2
3.979e0, 2.797e-2
4.183e0, 2.851e-2
4.386e0, 2.523e-2
4.589e0, 2.944e-2
4.793e0, 3.157e-2
4.996e0, 3.070e-2
5.199e0, 2.588e-2
5.402e0, 2.472e-2
5.606e0, 2.125e-2
5.809e0, 1.686e-2
6.012e0, 1.563e-2
6.215e0, 1.907e-2
6.419e0, 1.821e-2
6.622e0, 1.639e-2
6.825e0, 1.421e-2
7.029e0, 1.411e-2
7.232e0, 1.660e-2
7.435e0, 1.688e-2
7.638e0, 1.853e-2
7.842e0, 1.580e-2
8.045e0, 1.123e-2
8.248e0, 1.036e-2
8.452e0, 6.192e-3
8.655e0, 4.868e-3
8.858e0, 3.246e-3
9.061e0, 3.488e-3
9.265e0, 3.704e-3
9.468e0, 4.851e-3
9.671e0, 6.872e-3
9.875e0, 6.107e-3
1.008e1, 5.036e-3
1.028e1, 3.162e-3
1.048e1, 1.927e-3
1.069e1, 5.609e-4
1.089e1, 0
